"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-25","5.82","0.26","0.3","0.0","43","53","33","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-26","10.96","0.00","0.0","0.0","50","59","40","21.9","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-27","11.63","0.04","0.0","0.0","44","49","35","23.0","30.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-28","8.28","0.00","0.0","0.0","49","64","36","16.1","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-29","3.36","0.00","0.0","0.0","55","69","38","16.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-04-30","6.93","0.33","0.0","0.0","55","61","48","18.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-01","8.28","0.01","0.0","0.0","54","69","46","21.0","25.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-02","4.92","0.00","0.0","0.0","59","74","43","16.1","25.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-03","3.80","0.00","0.0","0.0","63","77","48","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-04","7.61","0.01","0.0","0.0","67","82","50","25.9","32.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-05","2.24","0.31","0.0","0.0","65","75","59","14.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-06","6.93","0.00","0.0","0.0","69","83","55","18.1","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-07","2.24","0.00","0.0","0.0","72","85","56","8.9","12.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-08","3.58","0.00","0.0","0.0","74","88","58","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-09","6.04","0.00","0.0","0.0","77","87","66","14.1","17.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-10","4.70","0.00","0.0","0.0","77","88","62","13.0","17.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-11","7.83","0.10","0.0","0.0","77","88","65","28.0","42.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-12","14.32","0.04","0.0","0.0","69","73","53","28.0","40.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-13","9.84","0.00","0.0","0.0","51","53","45","25.1","30.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-14","3.80","0.00","0.0","0.0","52","69","38","14.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-15","5.14","0.05","0.0","0.0","66","80","54","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-16","6.71","0.65","0.0","0.0","71","78","65","17.0","23.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-17","4.92","0.53","0.0","0.0","70","80","65","13.0","16.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-18","5.82","0.23","0.0","0.0","73","82","67","19.9","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-19","10.51","0.00","0.0","0.0","70","76","52","23.9","31.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-20","8.72","0.00","0.0","0.0","52","56","47","17.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-21","6.71","0.01","0.0","0.0","51","55","46","16.1","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-22","10.74","0.00","0.0","0.0","54","69","44","28.0","32.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-23","2.68","0.00","0.0","0.0","55","73","37","14.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-24","2.91","0.00","0.0","0.0","65","81","47","12.1","16.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-25","8.28","0.00","0.0","0.0","72","83","58","21.0","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-26","6.71","0.01","0.0","0.0","74","81","66","19.9","29.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-27","8.28","0.45","0.0","0.0","73","81","65","21.0","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-28","4.47","0.00","0.0","0.0","72","81","61","12.1","16.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-29","6.26","0.00","0.0","0.0","73","86","60","18.1","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-30","6.26","0.07","0.0","0.0","74","82","67","18.1","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-05-31","8.50","0.25","0.0","0.0","74","83","55","16.1","30.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-01","9.40","0.00","0.0","0.0","55","56","48","16.1","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-02","7.61","0.00","0.0","0.0","57","63","53","12.1","16.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-03","8.28","0.00","0.0","0.0","61","71","54","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-04","6.71","0.00","0.0","0.0","66","78","56","15.0","17.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-05","3.13","0.02","0.0","0.0","70","83","62","19.9","25.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-06","6.49","0.00","0.0","0.0","68","76","58","15.0","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-07","6.93","0.00","0.0","0.0","69","85","53","18.1","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-08","11.18","0.41","0.0","0.0","76","80","65","23.0","30.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-09","8.95","0.03","0.0","0.0","67","76","62","19.9","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-10","7.38","0.00","0.0","0.0","71","86","57","19.9","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-11","6.93","0.00","0.0","0.0","80","90","73","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-12","7.16","0.15","0.0","0.0","79","90","66","32.0","38.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-13","4.70","0.07","0.0","0.0","74","85","69","14.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-14","5.37","1.38","0.0","0.0","74","85","68","17.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-15","8.05","1.60","0.0","0.0","75","84","70","18.1","25.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-16","12.30","0.60","0.0","0.0","75","82","66","17.0","27.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-17","2.68","0.01","0.0","0.0","67","73","56","10.1","15.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-18","7.16","0.67","0.0","0.0","73","85","67","29.1","53.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-19","4.92","0.01","0.0","0.0","71","79","67","17.0","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-20","4.47","0.15","0.0","0.0","70","76","66","13.0","15.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-21","7.38","0.00","0.0","0.0","75","84","69","17.0","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-22","6.49","0.00","0.0","0.0","76","85","66","16.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-23","10.29","0.20","0.0","0.0","79","84","64","25.1","33.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-24","4.03","0.00","0.0","0.0","70","80","58","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-25","3.80","0.45","0.0","0.0","69","75","63","15.0","19.9"
